osm_id,man_made,tower_type,telecom,communication_mobile_phone,name,geometry
828382371,communications_tower,communication,,,,"LINESTRING (120.750734 14.9462995, 120.7507073 14.9463552, 120.7508285 14.9464093, 120.7508551 14.9463536, 120.750734 14.9462995)"
5470126408,utility_pole,,distribution_point,,,POINT (120.96597990000001 14.274037100000001)
5875525919,utility_pole,,distribution_point,,,POINT (120.96782400000001 14.274058)
5591129324,utility_pole,,distribution_point,,,POINT (120.9662907 14.274182000000001)
5875525926,utility_pole,,distribution_point,,,POINT (120.96664600000001 14.274264500000001)
5875525931,utility_pole,,distribution_point,,,POINT (120.96710420000001 14.274324700000001)
560649269,,,,,,"LINESTRING (120.9683713 14.2734522, 120.96829 14.2737535, 120.9681676 14.2741454, 120.9680375 14.2745731, 120.9679056 14.2750011, 120.967794 14.2753171)"
5255312222,utility_pole,,distribution_point,,,POINT (120.96586760000001 14.2743923)
5875525923,utility_pole,,distribution_point,,,POINT (120.96735430000001 14.2743946)
621966924,,,,,,"LINESTRING (120.9676826 14.2736055, 120.9674866 14.2739538, 120.9673543 14.2743946, 120.9672247 14.2748271, 120.9672077 14.2752362)"
5875525920,utility_pole,,distribution_point,,,POINT (120.967691 14.274487200000001)
584986942,,,,,,"LINESTRING (120.9662907 14.274182, 120.9664199 14.2737527, 120.9665259 14.2734023, 120.9669621 14.2734295, 120.9671459 14.2734708, 120.9672698 14.2734986, 120.9673592 14.2735187, 120.9676826 14.2736055, 120.9679702 14.2736785, 120.96829 14.2737535, 120.9687033 14.2738626, 120.9689696 14.2739304, 120.9693294 14.2740213, 120.9695948 14.2740974, 120.9698397 14.2744077, 120.9700689 14.2746909, 120.9702919 14.2749729, 120.9704467 14.2752004, 120.9706356 14.2753186)"
5875547191,utility_pole,,distribution_point,,,POINT (120.96914340000001 14.2743798)
5470126389,utility_pole,,distribution_point,,,POINT (120.96983970000001 14.274407700000001)
5875547188,utility_pole,,distribution_point,,,POINT (120.96944660000001 14.2744668)
5875587862,utility_pole,,distribution_point,,,POINT (120.97031670000001 14.274480800000001)
5875544099,utility_pole,,distribution_point,,,POINT (120.96873230000001 14.274648200000001)
5875544103,utility_pole,,distribution_point,,,POINT (120.9683983 14.274666300000002)
5470126385,utility_pole,,distribution_point,,,POINT (120.9700689 14.274690900000001)
5875568916,utility_pole,,distribution_point,,,POINT (120.97078350000001 14.274691200000001)
621968855,,,,,,"LINESTRING (120.9687033 14.2738626, 120.9685322 14.2742306, 120.9683983 14.2746663, 120.968268 14.2750904, 120.9681814 14.2755724)"
621966923,,,,,,"LINESTRING (120.9679702 14.2736785, 120.967824 14.274058, 120.967691 14.2744872, 120.967558 14.2749235, 120.9675199 14.2753273)"
1027568719,,,,,,"LINESTRING (120.9662907 14.274182, 120.9661835 14.2745377, 120.9660844 14.2748925)"
5591129323,utility_pole,,distribution_point,,,POINT (120.96618350000001 14.274537700000002)
5406721039,utility_pole,,distribution_point,,,POINT (120.96803750000001 14.274573100000001)
5875525927,utility_pole,,distribution_point,,,POINT (120.9665403 14.2746083)
1027568718,,,,,,"LINESTRING (120.966646 14.2742645, 120.9665403 14.2746083, 120.966489 14.275018)"
563367844,,,,,,"LINESTRING (120.9659799 14.2740371, 120.9658676 14.2743923, 120.9657522 14.2747662, 120.9660844 14.2748925, 120.966489 14.275018, 120.9668631 14.2751489, 120.9672077 14.2752362, 120.9675199 14.2753273, 120.967794 14.2753171)"
