osm_id,pipeline,man_made,amenity,name,geometry
4266828089,,,fuel,Shell,POINT (120.72546500000001 14.8266573)
255068264,,,fuel,Petron,POINT (120.728401 14.827940000000002)
255061508,,,fuel,Petron,POINT (120.714561 14.865290000000002)
12540889150,,,fuel,R One Fuel,POINT (120.70797 14.8776188)
12540889147,,,fuel,Echo Fuels,POINT (120.7100597 14.880622700000002)
4476766691,,,fuel,,POINT (120.70230930000001 14.8909979)
1275998761,,,fuel,,POINT (120.71134280000001 14.899535700000001)
,,,fuel,Phoenix,"POLYGON ((120.8643795 14.4233612, 120.8644305 14.4232455, 120.8643603 14.4232165, 120.8643093 14.4233322, 120.8643795 14.4233612))"
,,,fuel,Total,"POLYGON ((120.8830022 14.423367, 120.8828145 14.4232131, 120.882618 14.4234631, 120.8829291 14.423582, 120.8830022 14.423367))"
,,,fuel,Uno Fuel,"POLYGON ((120.866362 14.4237406, 120.8664042 14.4236134, 120.8663381 14.4235929, 120.8662959 14.4237201, 120.866362 14.4237406))"
,,,fuel,RePhil,"POLYGON ((120.8712175 14.4244695, 120.8712472 14.4244031, 120.8711188 14.4243493, 120.8710891 14.4244157, 120.8712175 14.4244695))"
9008901111,,,fuel,Phoenix,POINT (120.88937920000001 14.424621)
,,,fuel,Phoenix,"POLYGON ((120.8901063 14.4253089, 120.8901266 14.4252567, 120.8901504 14.4251955, 120.8900896 14.4251733, 120.8900658 14.4252345, 120.8900455 14.4252867, 120.8901063 14.4253089))"
,,,fuel,Petron,"POLYGON ((120.8748122 14.4265654, 120.8748734 14.4264476, 120.8748032 14.4264134, 120.874742 14.4265312, 120.8748122 14.4265654))"
2006910215,,,fuel,Jasmine,POINT (120.8926639 14.4274085)
,,,fuel,Seaoil,"POLYGON ((120.8798654 14.4276447, 120.8798801 14.4276077, 120.8797876 14.4275596, 120.8797653 14.4276061, 120.8797296 14.4276806, 120.8798366 14.4277174, 120.8798654 14.4276447))"
,,,fuel,Phoenix,"POLYGON ((120.8941846 14.4281214, 120.8942188 14.4281352, 120.8942444 14.4280649, 120.894206 14.4280566, 120.8941348 14.4279891, 120.894095 14.4280428, 120.8941846 14.4281214))"
