osm_id,railway,name,gauge,electrified,voltage,geometry
575887536,subway,,1435,contact_line,1500,"LINESTRING (121.0872271 14.6193384, 121.0864181 14.6195105, 121.0860796 14.6196723)"
295117119,subway,,1435,contact_line,1500,"LINESTRING (121.0872402 14.6194, 121.0864317 14.6195721, 121.0860796 14.6196723)"
5524933091,switch,,,,,POINT (121.0860796 14.619672300000001)
575887535,subway,,1435,contact_line,1500,"LINESTRING (121.0860796 14.6196723, 121.0858797 14.6197917)"
295117120,subway,,1435,contact_line,1500,"LINESTRING (121.0861608 14.6194673, 121.0860287 14.6196438, 121.0858797 14.6197917, 121.0855257 14.6200331, 121.0853781 14.6201083)"
2987879909,switch,,,,,POINT (121.0858797 14.6197917)
575887527,subway,,1435,contact_line,1500,"LINESTRING (121.0872949 14.6198022, 121.0856565 14.6201167)"
295117118,subway,,1435,contact_line,1500,"LINESTRING (121.0873054 14.6198441, 121.0856659 14.6201607)"
8593719964,switch,,,,,POINT (121.08535010000001 14.620074700000002)
2987879902,switch,,,,,POINT (121.08537810000001 14.6201083)
575887541,subway,,1435,contact_line,1500,"LINESTRING (121.0856904 14.6202741, 121.0873117 14.6199599)"
575887538,subway,,1435,contact_line,1500,"LINESTRING (121.0857018 14.6203271, 121.0873247 14.6200123)"
575887543,subway,,1435,contact_line,1500,"LINESTRING (121.0856565 14.6201167, 121.0853255 14.6202643)"
