osm_id,amenity,building,healthcare,name,geometry
,hospital,,hospital,Bataan General Hospital and Medical Center,"POLYGON ((120.5305886 14.6778697, 120.5300079 14.6777282, 120.5293488 14.6775733, 120.5292755 14.6775256, 120.529146 14.678136, 120.5295116 14.6783782, 120.5296899 14.678568, 120.5297501 14.678604, 120.5295655 14.6787615, 120.5296809 14.678852, 120.5296847 14.6792142, 120.5305282 14.6791709, 120.5305472 14.6797391, 120.5313704 14.6798909, 120.531569 14.6788482, 120.5309746 14.6787504, 120.5311701 14.6780362, 120.5305886 14.6778697))"
1367547424,hospital,,hospital,Abucay health Center,POINT (120.53539930000001 14.7213612)
9865263132,clinic,,clinic,JFD Dialysis Center,POINT (120.53489350000001 14.7907571)
417246864,clinic,,,Pandatung Health Center,POINT (120.46909550000001 14.8246351)
,hospital,,hospital,Dinalupihan District Hospital,"POLYGON ((120.4601497 14.8656303, 120.4606231 14.8656588, 120.4606259 14.8658532, 120.4613413 14.8658196, 120.4613332 14.8654572, 120.4614868 14.8653504, 120.4610476 14.864826, 120.4599968 14.865524, 120.4601497 14.8656303))"
8345877644,doctors,,,,POINT (120.46087820000001 14.8653983)
,,hospital,,,"POLYGON ((120.4605912 14.8690216, 120.4606051 14.869026, 120.4605653 14.8691473, 120.4606401 14.8691701, 120.4606318 14.8691955, 120.4608085 14.8692496, 120.4609365 14.8688589, 120.4606711 14.8687776, 120.4605912 14.8690216))"
,hospital,,,Bataan Doctors Hospital,"POLYGON ((120.5425382 14.6833265, 120.5426714 14.6830531, 120.5426967 14.6830059, 120.5427806 14.6830394, 120.5428695 14.6829313, 120.5428228 14.6828743, 120.5426825 14.6828114, 120.5428086 14.6827386, 120.5426073 14.6826482, 120.5424406 14.6827012, 120.5423642 14.6828536, 120.5426541 14.6829864, 120.5426305 14.6830372, 120.5426093 14.6830768, 120.5423329 14.682947, 120.5421967 14.6831673, 120.5425382 14.6833265))"
,,hospital,,Isaac Catalina Medical Center,"POLYGON ((120.5381369 14.6848066, 120.5379753 14.6854553, 120.5382322 14.6855195, 120.5382791 14.6853548, 120.5381725 14.6853274, 120.5382503 14.6850213, 120.5383106 14.6850349, 120.5383496 14.6848572, 120.5381369 14.6848066))"
10095989,hospital,,hospital,Isaac Catalina Medical Center,"POLYGON ((120.5383551 14.6851061, 120.5386448 14.685158, 120.5386126 14.6850613, 120.5383665 14.6850289, 120.5383974 14.6848479, 120.5380949 14.684774, 120.5379367 14.6855056, 120.5383337 14.6856016, 120.5383404 14.6854719, 120.5383551 14.6851061))"
,hospital,,hospital,Orani District Hospital,"POLYGON ((120.5350319 14.7897507, 120.5349744 14.7903039, 120.53575 14.7903186, 120.5358376 14.7898495, 120.5350319 14.7897507))"
5296791,,hospital,,,"POLYGON ((120.5351459 14.789888, 120.5351299 14.7900512, 120.5353605 14.7900723, 120.5353426 14.7902539, 120.5357384 14.7902902, 120.5357722 14.7899455, 120.5351459 14.789888), (120.5354136 14.7900789, 120.5355508 14.7900909, 120.5356371 14.7900984, 120.5356312 14.7901616, 120.5354077 14.7901421, 120.5354136 14.7900789))"
,clinic,clinic,clinic;midwife,Santa Teresa 2nd Barangay Health Center,"POLYGON ((120.5637566 14.8866439, 120.5637777 14.8866025, 120.5637095 14.8865702, 120.5636884 14.8866116, 120.5637566 14.8866439))"
