osm_id,power,voltage,utility,name,geometry
2307226342,tower,,,,POINT (120.9388009 14.3749389)
12193580317,pole,,,,POINT (120.93867960000001 14.374939900000001)
12525863973,pole,,,,POINT (120.9389866 14.374957100000001)
12525863974,pole,,,,POINT (120.93900000000001 14.375178900000002)
1353609955,minor_line,,,,"LINESTRING (120.9390354 14.3751831, 120.939 14.3751789)"
12525863968,pole,,,,POINT (120.93903540000001 14.375183100000001)
12193580362,pole,,,,POINT (120.9388143 14.375272)
12193580363,pole,,,,POINT (120.93881950000001 14.375275)
12193580364,pole,,,,POINT (120.93881440000001 14.375278000000002)
12536278624,pole,,,,POINT (120.93900740000001 14.375306400000001)
12536278625,pole,,,,POINT (120.9390082 14.375315200000001)
12513986956,pole,,,,POINT (120.94038570000001 14.3753553)
12513986957,pole,,,,POINT (120.9406754 14.375375100000001)
12193580366,pole,,,,POINT (120.93882880000001 14.3755684)
12513986961,pole,,,,POINT (120.94083930000001 14.375626500000001)
12536278629,pole,,,,POINT (120.93903220000001 14.375632000000001)
12536278630,pole,,,,POINT (120.9390336 14.3756438)
